Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
"Able to understand the major ideas concerning the evolution of the earth's landscape, its biota and climate patterns.",,1,,,,
"Able to understand the present day distribution of the world's climate, biota, soils and landscapes with special emphasis on the African environment.",,1,,,,
Able to undertake an independent field study of the natural environment and understand the problems associated with making field measurements of natural phenomena.,,1,1,,,
"Accept responsibility for and manage, implement and evaluate their personal and professional development and show a commitment to life-long learning.",,,,,1,
"Access and analyze large genomics, transcriptomics and proteomics datasets using command line queries;",,,,1,,
Access and critically analyse sources of scientific information;,,,,1,,
"access and critically evaluate relevant policy and research relating to youth transitions through post-compulsory education and training, including pathways, employability and lifelong learning",,,,,1,
Access and evaluate information needed appropriately;,,,,,1,
Access and review scientific literature.,,,,,1,
access literature that is relevant to your professional challenge and identify how the literature responds to it,1,,,,,
"Access the Faculty computing resources, including access facilities with a clear understanding of appropriate health and safety studio procedures and implement these procedures within your work practice;",,1,,,,
"Access the main sources of routinely collected health data and choose the appropriate one, taking into account their advantages and disadvantages.",,,,1,,
"access, adapt and develop materials and teaching activities and critically evaluate resources which meet the diverse needs and identities of EAL learners",,,,,,1
"account for the recording and reporting of inventory, applying the periodic and perpetual method as per issues raised in AASB 102/IAS 1",,,1,,,
Accurately and clearly present experimental data in figures and/or tables with clear and logical descriptive commentary and appropriate statistical analysis,,,,,,1
Accurately and efficiently refer a childhood problem to multiple disciplines.,,,,1,,
Accurately apply the principles of quality assurance and quality control to hybrid imaging.,,,1,,,
Accurately apply the principles of quality assurance and quality control to MRI imaging in the clinical context.,,,1,,,
"Accurately assess and document injuries using notes, diagrams and photography.",,,,1,,
"Accurately conduct mental status, risk and other relevant assessments to help inform the provision of safe, high quality patient care",,,,1,,
"Accurately describe and report on injuries to the teeth, cranio-facial skeleton, and soft tissues of the face;",,,,,1,
Accurately describe the principles of quality assurance and quality control used with multislice CT imaging.,,1,,,,
Accurately distinguish between cardiac and vascular structures in the modification of standard MR scanning techniques,,,,1,,
Accurately distinguish between normal and abnormal appearances on multislice CT images of the head and neck.,,,,1,,
Accurately distinguish between normal and abnormal appearances on multislice CT images of the thorax and abdomen,,,,1,,
Accurately implement the principles of quality assurance measures and quality control relevant to MSCT and MRI imaging and artefacts.,,,1,,,
Accurately interpret statistical methods and results reported in health publications;,,,,,1,
Accurately interpret statistical methods and results reported in health publications.,,,,,1,
"Accurately locate and critically assess research literature, with an emphasis on community-based emergency health;",,,,,1,
Accurately perform common biomedical calculations used in research;,,,1,,,
Accurately perform comprehensive health and physical assessment skills in simulated and clinical practice environments,,,,,1,
"accurately read, understand and interpret a range of data commonly found within educational settings",,1,,,1,
"Accurately record, analyse and report experimental outcomes to a variety of audiences; ",,,,1,,1
"Accurately record, analyse and report experimental outcomes;",,,,1,,1
accurately summarise and succinctly evaluate articles written for professional philosophy journals in an in-class presentation;,,,,,1,
"Achieve a holistic design, which demonstrates professional competence and cultural awareness;",,,,,,1
Acknowledge and critically examine the difference between white Australia's representational constructs of Indigenous people and the historic and contemporary realities of Australia's Indigenous peoples'.,,,,1,,
Acknowledge and critically examine the different forms of imperial and colonial intervention in the Pacific region;,,,,1,,
Acknowledge and critically examine the power and privilege of whiteness in contemporary Australian society.,,,,1,,
"Acknowledge Indigenous cultures, knowledge, and values; and;",,1,,,,
acquire a basic understanding of the structure of the language;,,1,,,,
Acquire a conceptual overview of digital journalism production and its functionality in the newsroom.,,,1,,,
Acquire a conceptual overview of the art circuit and its functionality in the media industry.,,,1,,,
"Acquire a detailed understanding of the theory and practice of the RtP doctrine, and the relevance of RtP and human rights theory in the contemporary European context;",,1,,,,
acquire a historical understanding of current economic circumstances.,,1,,,,
acquire a sound knowledge of issues surrounding the financing of international business,,1,,,,
acquire a sound understanding of key theoretical and pedagogical perspectives and issues in the teaching of mathematics as a subject discipline in secondary schools in Australia and internationally,,1,,,,
"acquire a sound understanding of key theoretical and pedagogical perspectives and issues in the teaching of music through professional experience, research and analysis",,1,,,,
acquire a sound understanding of key theoretical and pedagogical perspectives and issues in the teaching of psychology,,1,,,,
acquire a sound understanding of key theoretical and pedagogical perspectives and issues in the teaching of science,,1,,,,
acquire a thorough understanding of how to access and acquire data through commonly used databases in banking and finance research,,1,,,,
acquire a working knowledge of the main market and regulatory mechanisms for mitigating GHG emissions,1,,,,,
acquire advanced knowledge and skills in understanding research articles,1,,,,,
acquire advanced knowledge of the conceptual framework and disclosure requirements in accordance with the accounting standards and the statutory laws,1,,,,,
"Acquire an advanced knowledge of legal research principles and methods, evidenced by their ability to locate, update and apply the law in their chosen area of research;",,1,1,,,
"acquire an in-depth understanding of economic concepts such as market efficiency, performance evaluation and market structure regulation",,1,,,,
Acquire an orientation of expectations of child and youth care workers in the various child and youth development practice contexts,,,1,,,
"acquire an understanding of climate change mitigation with respect to political, environmental, regulatory and economic impacts on business in the Australian and global context",,1,,,,
Acquire an understanding of current archaeological methods and theories used in studying state formation.,,1,,,,
acquire an understanding of holistic learning and teaching including the wide variety of learning and teaching strategies that support the connections between music theory and practice in developing a personal approach to teaching music.,,1,,,,
acquire an understanding of the grammar of Middle Egyptian;,,1,,,,
acquire an understanding of the grand theories that strive to explain business globalisation and the rules that govern this process,,1,,,,
"acquire an understanding of the purpose, motivations and strategies of the United Nations System, regional organisations, civil society and multinational corporations",,1,,,,
acquire an understanding of the theories and usage of International foreign exchange markets,,1,,,,
acquire an understanding of the theory and processes of global governance,,1,,,,
Acquire and analyse computer based data for graphical and tabular summarisation of findings;,,,1,1,,
Acquire and apply a basic knowledge of translation theory;,,,1,,,
acquire and apply skills associated with the biophysical sub-discipline in physical activity and health contexts,,,1,,,
Acquire and assess information and knowledge from scientific literature;,,,1,,1,
"acquire and comprehend the fundamental knowledge of the role of an engineer as a manager - skills, roles, styles, techniques, in the context of an organisation",,1,1,,,
Acquire and demonstrate a greater critical knowledge and understanding of modern and contemporary France and its culture;,,,1,,,
"acquire and demonstrate team skills including planning, collaboration, problem-solving, decision-making, communication and presentation skills.",,,1,,,
Acquire and incorporate audio and music tracks within a video source;,,,1,,,
Acquire and optimise experimental data,,,1,,,
Acquire basic culinary skills and knowledge in food preparation.,,,1,,,
acquire computer skills vital for forecasting business and economic data,,,1,,,
acquire computer skills vital for forecasting business and economic data.,,,1,,,
Acquire construction management skill including project planning and risk assessment,,,1,,,
acquire effective academic presentation and writing skills,,,1,,,
acquire essential skills for managing foreign exchange risk,,,1,,,
acquire experiential knowledge on experimental studies through laboratory activity.,,,1,,,
"Acquire footage, incorporate graphics and manage a variety of media sources into a video sequence;",,,1,,,1
acquire high-level analytical legal skills and apply them to a research project on a business law topic of their choice,,,1,,,
acquire in depth knowledge and a critical interest in a selected business law area,,,1,,,
Acquire information from scientific resources and demonstrate team work and communication skills in their learning.,,,1,,,
acquire knowledge of contemporary issues in asset pricing and investments,1,,,,,
acquire knowledge of contemporary issues in corporate finance and governance,1,,,,,
acquire knowledge of contemporary issues in financial institution research,1,,,,,
acquire knowledge of empirical findings in corporate finance,1,,,,,
acquire knowledge of empirical findings in corporate finance and financial intermediation,1,,,,,
acquire knowledge of formulating relevant research questions addressing corporate and bank level policies,1,,,,,
acquire knowledge of the application of the case study method of study.,1,,,,,
Acquire practical counselling experience by learning in the field.,,,1,,,
"acquire practical research skills including the ability to work in groups of diverse cultural and social backgrounds and investigate academic, institutional and public media sources",,,1,,,
acquire practical skills and knowledge for supporting change within an organisation towards sustainable practice,,,1,,,
acquire practical skills and knowledge for supporting strategic change within a business towards sustainable practice,,,1,,,
acquire proficiency in handling optimisation problems and have a basic understanding of general equilibrium analysis.,,1,,,,
acquire qualitative and quantitative skills and knowledge on fixed income securities,,,1,,,
Acquire research data that can be appropriately analysed and used as the basis for answering research questions and testing research hypotheses;,,,,1,,
acquire skills in solving equations and applying them to problems arising in business,,,1,,,
Acquire skills in the constructive approach to complex situations with competing ethical issues.,,1,,,,
acquire skills to conduct high quality independent qualitative research,,,1,,,
acquire skills to design qualitative research studies,,,,,,1
acquire skills to work with key stakeholders (e.g. parents and paraprofessionals),,,1,,,
"Acquire some basic skills in obtaining, interpreting and presenting scientific data.",,,,,1,
Acquire sound knowledge of how new media technologies are changing PR practices;,1,,,,,
Acquire specific skills relevant to their research project;,,1,,,,
"acquire team skills including team leadership, collaboration, problem-solving, decision-making, communication and presentation skills",,1,,,,
Acquire the ability to write original Yiddish sentences and paragraphs.,,,,,,1
Acquire the ability to write original Yiddish sentences.,,,,,,1
acquire the basis for more advanced studies in economics,1,,,,,
Acquire the essential skills required for Yiddish conversation.,,1,,,,
"acquire the skills necessary to derive Bayesian results analytically, in simple models",,1,,,,
"Acquire, critically analyse and communicate complex scientific ideas and information.",,,,1,,1
"Acquire, manipulate and interpret physical data and write scientific reports at a level suitable for publication.",,,,,1,
"Acquire, synthesise and critically analyse relevant primary research literature to answer questions in evolutionary ecology;",,,,1,,1
Acquired a general understanding of the relationship between regulation and the other principal activities of government;,,1,,,,
"Acquired a greater critical knowledge and understanding of modern and contemporary French society, its culture, values and their evolution.",,1,,,,
Acquired a sense of the scope of film studies.,,,1,,,
"Acquired an understanding of a number of theories, concepts and constructs that explain regulatory practice in a modern liberal capitalist society;",,1,,,,
Acquired an understanding of the context of the delivery of the service and the particular function it serves to the individual and the community at large;,,1,,,,
Acquired an understanding of the policy cycle and the challenges facing governments and regulators when deciding whether and how to regulate a particular issue;,,1,,,,
"Acquired knowledge about the challenges to cultural nationalism by transnational cultural flows, and the role of electronic media, especially the Internet in this;",1,,,,,
"Acquired knowledge of the problem of unjustifiable discrimination and its Australian social context, and of anti-discrimination laws and their application and interpretation",,,,,1,
"Acquired the capacity to apply a number of regulatory theories, concepts and constructs to analyse a basic regulatory regime to identify its key elements and institutional characteristics;",,,1,,,
"Act in a responsible, safe and ethical manner and apply these principles to practice;",,,1,,,
"Act in a responsible, safe and ethical manner and apply these principles to practice.",,,1,,,
actively demonstrate basic competencies in practical and creative components of one or more of the specific creative arts disciplines as they apply to teaching and learning,,,1,,,
actively demonstrate competencies in practical and creative components of one or more of the specific creative arts disciplines as they apply to teaching and learning,,,1,,,
Actively demonstrate competencies in practical components,,,1,,,
Actively design collaborative modes of problem solving in a group project task;,,,,,,1
Actively participate in class discussions and make use of feedback to strengthen knowledge of key issues.,,,1,,,
actively participate in professional conversations and debates about issues pertinent to English education,,,,,1,
Actively seek out and act upon constructive feedback.,,,,,1,
"Adapt and apply the core principles of intensive care nursing to specialist patient populations (e.g. patient with multiple trauma, burns, paediatrics, pregnancy).",,,1,,,
Adapt and implement an intervention plan that accounts for common practice challenges in the broader structural and cultural systems found in the contemporary Australian context including Aboriginal and Torres Strait Islander populations.,,,1,,,1
Adapt experiential knowledge and skills in diverse outdoor education contexts,,,1,,,
Adapt experiential knowledge and skills in diverse outdoor environmental contexts,,,1,,,
Adapt knowledge of cultural diversity and apply principles of culturally responsive practice.,,,1,,,
Adapt legal project lifecycle frameworks to differentiate from other legal professionals.,,,1,,,
"adapt the knowledge and skills learnt throughout the unit to the planning, management and presentation of a school musical production",,,1,,,
"adapt to a variety of different cultural and professional environments,",,,1,,,
Adapt your practices and communication to address the rise of misinformation in a changing landscape.,,,1,,,
additional learning outcome for language students: apply specialist language in relation to cultural studies in the target language.,,,1,,,
address an open-ended industrial problem by designing solutions that meet specified objectives,,1,,,,
Address an open-ended problem by designing a solution and validate the solution using lab-scale equipment.,,1,,,,
Address appropriate output considerations for the assembly and preparation a digital video/audio production;,,1,,,,
address current issues faced by these stakeholders and the resolution to these issues,,1,,,,
address key research questions,,1,,,,
"Address modern manufacturing philosophies, such as lean production systems, agile and virtual manufacturing systems and improve the quality and productivity of the manufacturing systems.",,1,,,,
Address performance improvement opportunities identified by industry supervisors and self-assess opportunities for personal development;,,1,,,,
Address performance improvement opportunities identified by industry supervisors;,,1,,,,
Address personal learning needs through critical reflection of gaps in skills and knowledge.,,1,,,1,
"address practical issues such as guarantees and options, risk classification and the effects of the pricing and reserving basis on the emergence of profit",,1,,,,
"address practical issues such as guarantees and options, risk classification and the effects of the pricing and reserving basis on the emergence of profit.",,1,,,,
Address practicalities of research project management.,,1,,,,
Address research questions in the digital humanities which require non-textual data;,,1,,,,
"Address specifics of site characteristics in layout, conditions, planning, equipment/technology selection, reclamation with life-cycle analysis considerations suitable for developing a feasibility report.",,1,,,,
"Address the academic debates in relation to ethnoecology from the school of thought which places cognition at the forefront of this discipline to those that believe other issues such as culture, time and concepts such as tradition and religion also influence people and their relationship to the environment. ",,1,,,1,
"Address the academic debates in relation to ethnoecology from the school of thought which places cognition at the forefront of this discipline to those that believe other issues such as culture, time and concepts such as tradition and religion also influence people and their relationship to the environment",,1,,,1,
Address the complexities of team dynamics.,,1,,,,
Address the fundamentals of kinematics and kinetics of particles and rigid bodies.,,1,,,,
"Address the interaction between, often conflicting, requirements in the design of airframes i.e. aerodynamics, avionics and propulsion.",,1,,,,
Address the issues and challenges of managing very large collections of heterogeneous data for information retrieval;,,1,,,,
Address the issues and challenges of managing very large collections of heterogeneous data for information retrieval;,,1,,,,
Address the way in which damage tolerant design fits into JSSG 20,,1,,,,
adjust and apply personal cross-cultural competence to culturally diverse settings.,,,1,,,
Adopt a questioning and critical approach in all aspects of practice and evaluate practice on an on-going basis.,,,,,1,
"adopt a reflective approach and effectively enact a range of inclusive planning, performing, sharing and teaching strategies to demonstrate understanding of The Arts curriculum documents",,,1,,,
"adopt a reflective approach and enact a range of creative planning, performing and teachingstrategies",,,1,,,
"adopt a reflective approach and enact a range of inclusive planning, performing, sharing and teaching strategies",,,1,,,
adopt a reflective approach and enact a range of rhythmic and expressive movement planning and teaching strategies to meet the needs of diverse learners,,,1,,,
adopt and enact a reflective approach to continuous professional development as a professional drama educator.,,,1,,,
"Adopt applicable processes, methods and an open attitude towards inquiry and experimentation;",,,1,,,
adopt sound ethical principles that underpin monitoring and evaluation;,,,1,,1,
"Adopt the principles of life-long learning, including demonstration of reflective practice and the ability to apply educational, research or clinical theories to inform professional change when  required.",,,1,,,
Advance our understanding of an existing problem or problems in the chosen area for original research.,,,1,,,
Advance sustained critical arguments in relation to a specialised topic;,,,,1,,
Advanced skills in the use of computer-aided drafting and design (CAD),,,1,,,
Advanced undergraduate-level skills in the reading and interpretation of literary texts.,,,,,1,
Advise a company or other organisation on its obligations regarding the selection and introduction of a 'Safety Management System'.,,,,,,1
"Advise healthcare professionals and consumers on the changes in physiology and pathophysiology in older patients, and how this impacts the quality use of medicines in this population.",,,,,,1
Advocacy: Describe advocacy for equitable outcomes and social justice in regard to Aboriginal and Torres Strait Islander Health,,1,,,,
advocate the role of marketing and a marketing orientation within organisations,,1,,,,
"align methodologies for linguistic analysis (quantitative, qualitative, or mixed) to research questions.",,,1,,,
"An ability at advanced level to analyse and evaluate arguments, and to understand critical approaches relating to the communication industries and communication issues;",,,,1,1,
"An ability to apply these concepts, principles, legislation and policy to concrete situations",,,1,,,
An ability to be able to articulate independent views on the topics covered in the unit.,,,,,1,
"An ability to communicate, orally and in a written form, their understanding of these theories and concepts.",,,1,,,
An ability to conduct independent research in air and space law and convey the results of this and the above objectives both orally and in writing.,,,1,,,1
An ability to contribute in a constructive way to public debates in areas such as social alienation and its relationship to violence; the ethics of using violence to resolve conflicts; the limits of legal and acceptable political action.,,,,,1,
"An ability to design, write and edit a research thesis;",,,,,,1
"An ability to discuss particular examples of Asian Cinema and Television texts in ways that show some understanding of generic considerations, cultural differences and historical specificity;",,1,,,,
An ability to evaluate theories of crime and their applicability to contemporary society;,,,,,1,
"An ability to experiment with a range of writing structures and techniques, and to assess these writing strategies in terms of their effectiveness and creativeness;",,,,,1,
An ability to identify the kind of digital information and software most appropriate to solving different geological problems.,,,,1,,
An ability to situate the intersections between art and philosophy within their historical context;,,,,1,,
An ability to use the terminology of aesthetic philosophy with confidence;,,,1,,,
An acquaintance with and critical appreciation of the range of alternatives to commercial litigation,,1,,,,
An acquaintance with the considerable body of knowledge that has been built up about late medieval and Renaissance Florence (in the context of Italian history in general),,1,,,,
"An advanced ability to produce a new work, in either poetry, fiction or literary non-fiction.",,,,,,1
"An advanced understanding of design procedures and to develop discernment of good and poor design. Approaches to design, innovative versus incremental design, robust design. Design criteria, costing of materials and manufacture, and manufacturing technique",,1,,,,1
"An appreciation of the complexities, problems, anomalies, and challenges that diplomatic negotiations undergo",,1,,,,
An appreciation of the discipline of Politics.,,1,,,,
"an appreciation of the history, philosophy and practice of empirical research in Sociology and Anthropology;",,1,,,,
"An appreciation of the history, philosophy and practice of qualitative social research;",,1,,,,
an appreciation of the issues and the agencies involved in rebuilding states and societies after genocide and conflict,,1,,,,
an appreciation of the meaning and role of both ethics and reflexivity in social research;,,1,,,,
An appreciation of the theoretical understandings of the shift from government to governance in respect of the environment and sustainability.,,1,,,,
An appreciation of the various fluid transport mechanisms in micro/nano channels or devices and physical interaction mechanisms in solids at the micro/nano scale,,1,,,,
An appropriate level of understanding of a range of theoretical orientations to human behaviour,,1,,,,
"an awareness of some of the key issues, debates and controversies associated with conducting social research, and an appreciation of the complexity of conducting such research;",,,,,1,
"An awareness of the culture of development organisations, institutions and practitioners;",,1,,,,
An awareness of the role and function of the State and of the core political institutions that support its operations;;,,1,,,,
"An embodied understanding of the basic performance elements of movement, dynamic interaction/ensemble work, space, image and composition",,1,,,,
An enhanced ability to conduct independent research and critically engage with research findings;,,,1,,,
"An enhanced capacity to analyse and evaluate arguments, and to understand critical approaches to the planning, writing and editing of a research topic;",,,,1,1,
An enhanced capacity to formulate and research communication issues;,,,,,,1
"An improved ability to formulate hypotheses, select appropriate tests, interpret findings, integrate findings to respond to referral questions and formulate a management plan for a variety of neuropsychological referrals and discuss this with the class;",,,,,1,1
An in-depth knowledge of changes that post-Mao reform has brought to intellectual trends in general and to literature in particular (through critical analysis of a range of literary works by a younger and unorthodox generation of Chinese writers who challenge traditional Chinese literary norms through their exploration of fundamental issues of humanism);,,1,,,,
An in-depth knowledge of changes that post-Mao reform has brought to intellectual trends in general and to literature in particular (through critical analysis of a range of literary works by a younger and unorthodox generation of Chinese writers who challenge traditional Chinese literary norms through their exploration of fundamental issues of humanism),,1,,,,
An in-depth knowledge of one of the major theoretical approaches to personality and its connections to other disciplines.,,1,,,,
"An in-depth knowledge of the relationship between design, manufacture and material selection",,1,,,,
An informed theoretical critique of how dominant Western ideas of criminological theory and research might/might not apply in Asian countries.,,1,,,,
An informed theoretical critique of how gender and sexuality is constituted in popular culture;,,,,,1,
An informed theoretical critique of how masculinity is constituted in society,,,,,1,
An informed understanding of contemporary critical and theoretical approaches to travel,,1,,,,
"An informed understanding of how gender is constructed in society, the media and the criminal justice system, particularly from an African perspective.",,1,,,,
An informed understanding of some key approaches to modernist literature;,,1,,,,
An informed understanding of some key critical and theoretical approaches to the study and analysis of literature;,,1,,,,
"An introductory understanding of how politically motivated violence challenges established domestic and international political norms; especially in areas of citizenship, state surveillance and international cooperation between states;",,1,,,,
"an introductory understanding of the cultural, economic, social and religious circumstances that lie behind the spread of politically motivated violence; b. how terrorism is a unique form of political violence, yet one that shares some features, objectives and tactics of guerrilla warfare, organized crime and political assassination.",,1,,,,
An introductory understanding of violent extremist networks and extremist groups and how these networks and groups impact upon national and international security;,,1,,,,
